Row.names,PC1,PC2,PC3,X,Tube,root.microb3,Vegetation,Location,SampleID,LDMC..g.g.,SLA..cm.2.g.,X15N,X13C,Wt..N.,Wt..C.
28,0.610237977,0.692758405,1.156352583,ITS.cc.48,48,"ECM,ERM",S,Italy ,ITS.cc.48,3.228119183,5.418582668,2.092462648,1.572737703,0.357631996,1.373141871
29,1.310047283,1.857885339,-0.268201116,ITS.cc.49,49,"ECM,ERM",S,Italy ,ITS.cc.49,3.316112145,5.562686568,1.531595672,1.035786824,0.235898658,1.373098822
3,-0.876097072,0.514198641,-1.941581505,ITS.cc.3,3,Nfix,S,Switzerland,ITS.cc.3,3.021757643,4.488447444,2.06433062,0.794177695,1.215939517,1.359450242
30,1.389980768,1.720347011,0.194100015,ITS.cc.50,50,"ECM,ERM",S,Italy ,ITS.cc.50,3.225553615,5.483541861,1.576142853,1.21742256,0.156473266,1.374678969
31,-0.727052355,-0.797946005,1.03521337,ITS.cc.61,61,"ECM,ERM",S,US CO,ITS.cc.61,2.842871939,5.87749737,2.020828311,1.796427855,1.004542972,1.359442271
32,-1.287213834,-0.341643358,1.65165794,ITS.cc.62,62,"ECM,ERM",S,US CO,ITS.cc.62,2.870063879,6.059175343,2.261160625,1.824317652,1.092236209,1.369290652
33,-0.583473731,0.375951376,0.836070171,ITS.cc.63,63,"ECM,ERM",S,US CO,ITS.cc.63,2.896640329,5.848369595,1.880363806,1.564667634,0.966560847,1.370324257
34,-1.733835366,0.825532046,0.147810949,ITS.cc.64,64,"ECM,ERM",S,US CO,ITS.cc.64,2.711074611,6.339504925,2.021864003,1.20880296,1.123758228,1.370287449
35,-1.678769521,-0.297126075,1.04153679,ITS.cc.65,65,"ECM,ERM",S,US CO,ITS.cc.65,2.807689137,5.951485698,2.328726655,1.635775221,1.192703452,1.366844239
36,-1.095760071,-0.229918205,0.526866784,ITS.cc.66,66,"ECM,ERM",S,US CO,ITS.cc.66,2.733957316,6.414263855,1.872734742,1.526794292,1.011787308,1.359948924
37,-1.342974735,-0.68178902,1.721223969,ITS.cc.67,67,"ECM,ERM",S,US CO,ITS.cc.67,2.837008035,5.926277203,2.231433286,1.930091404,1.229337758,1.367551947
38,-1.062688509,0.2201475,0.73755783,ITS.cc.68,68,"ECM,ERM",S,US CO,ITS.cc.68,2.961329937,5.999865472,2.043143025,1.49061852,1.111333523,1.368817276
39,-1.612553592,-0.520805133,1.698295801,ITS.cc.69,69,"ECM,ERM",S,US CO,ITS.cc.69,2.823386597,5.916511588,2.28436277,1.885443965,1.323883964,1.370037128
4,-1.102934389,-0.170955886,-1.025429234,ITS.cc.4,4,Nfix,S,Switzerland,ITS.cc.4,3.060401127,5.864270378,2.026521056,1.019110354,1.124481022,1.352650091
40,-1.843857671,-0.57628213,1.69951034,ITS.cc.70,70,"ECM,ERM",S,US CO,ITS.cc.70,2.768339806,6.207290344,2.246196577,1.874660733,1.377552473,1.368761263
