site,veg,symbiont,ITS.otus,ITS.chao1,ph,vwc,soilN,soilCN,sla,ldmc,leafN,temp,precip,PCOA1,PCOA2,X
Czech Rep,S,ECM.ERM,0.034695333,0.028572722,-1.606541995,-0.339049843,-0.130778883,-0.026346003,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.120287814,-2.693030193,ITS.cc.190
Czech Rep,NS,ECM.ERM,-0.933104486,-0.910539287,-1.510464387,-0.689460644,-0.640575391,-0.158292323,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.228493655,-2.047946351,ITS.cc.191
Czech Rep,NS,ECM.ERM,-0.168902477,-0.126670413,-1.520072147,-0.827650819,-0.35968968,-0.065088821,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.230051313,-2.670866238,ITS.cc.193
Czech Rep,NS,ECM.ERM,0.457042416,0.853186537,-1.644973038,-0.487110745,-0.724619934,-0.093550965,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,0.134631282,-2.623786863,ITS.cc.194
Czech Rep,NS,ECM.ERM,0.712249903,0.817482066,-1.529679908,0.751665464,-0.312138162,0.117393152,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,0.117307235,-2.400825566,ITS.cc.195
Czech Rep,NS,ECM.ERM,-0.571363262,-0.505869211,-1.712227364,-0.097217038,-0.200447387,-0.092911975,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.194694276,-2.290269061,ITS.cc.196
Czech Rep,NS,ECM.ERM,-0.388598717,-0.313298824,-1.90438258,0.006425593,1.124360023,-0.018645295,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.163373832,-1.710373499,ITS.cc.197
Czech Rep,NS,ECM.ERM,-0.090777736,-0.009455,-1.66418856,-0.536464379,0.471908961,-0.016751124,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.180508794,-2.666971514,ITS.cc.198
Czech Rep,NS,ECM.ERM,0.720299118,1.021284901,-1.750658407,-0.605559466,1.305719301,0.027518255,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,0.049182477,-1.589770162,ITS.cc.199
Switzerland,S,Nfix,0.382705542,0.334597895,-0.905175455,-0.062669494,-0.702502949,-0.153746311,0.067193677,0.396308283,0.609929781,0.27145921,0.727067299,-0.113783796,-0.340389469,ITS.cc.2
Czech Rep,NS,ECM.ERM,-1.472875423,-1.346523757,-1.913990341,-0.585818013,-0.234728714,-0.276320766,-1.086616305,1.250710044,-1.045193905,-0.077276709,-0.333509256,-0.461315897,0.61917569,ITS.cc.200
Sweden,S,ECM.ERM,-0.178845625,-0.035703862,0.286186886,-0.072540221,0.068273983,-0.212409251,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.265002695,-2.536552389,ITS.cc.201
Sweden,S,ECM.ERM,0.245868874,0.092338386,0.612850754,-0.190988942,0.858956201,-0.172598438,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,0.363951778,0.791396464,ITS.cc.202
Sweden,S,ECM.ERM,3.059306509,2.952403746,0.459126581,-0.141635308,0.001923027,-0.138829638,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,0.921454308,0.452523931,ITS.cc.203
Sweden,S,ECM.ERM,1.066415394,1.410068472,0.497557624,-0.195924305,0.064956435,-0.222556002,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,0.080183859,0.637977855,ITS.cc.204
Sweden,S,ECM.ERM,-0.033486259,0.166735338,0.516773146,0.119938951,0.182176456,-0.163021655,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.194002204,0.516116935,ITS.cc.205
