,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU14638,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14639,,,,,,,
OTU14640,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14641,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14642,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14643,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Hyphodermella,
OTU14644,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,,,
OTU14645,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14646,,,,,,,
OTU14647,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14648,Viridiplantae,Anthophyta,Eudicotyledonae,Sapindales,,,
OTU14649,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,
OTU14650,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14651,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14652,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Phlebia lilascens
OTU14653,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14654,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14655,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU14656,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,
OTU14657,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14658,Fungi,Ascomycota,Sordariomycetes,,,,
OTU14659,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14660,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,
OTU14661,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14662,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14663,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14664,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
