site,veg,site.veg,plant.species,root microb,coord.X,coord.Y,elevation,VWC,pH,Tube,SampleID,soilN2,soilC2
US CO,S,US CO.S,Salix glauca,AMF,-105.6708,40.1536,3530,8.6,5.6,66,ITS.cc.66,0.995,26.577
US CO,S,US CO.S,Salix glauca,AMF,-105.6709,40.1536,3530,8.6,5.2,67,ITS.cc.67,0.426,26.076
US CO,S,US CO.S,Salix glauca,AMF,-105.671,40.1536,3530,16.9,5.5,68,ITS.cc.68,1.594,21.278
US CO,S,US CO.S,Salix glauca,AMF,-105.6711,40.1536,3530,6.9,5.1,69,ITS.cc.69,1.688,24.066
US CO,S,US CO.S,Salix glauca,AMF,-105.6712,40.1536,3530,7.9,5.6,70,ITS.cc.70,1.035,12
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6713,40.1536,3530,13.9,7.1,71,ITS.cc.71,0.563,18.329
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6714,40.1536,3530,15.4,5.9,72,ITS.cc.72,1.667,16.658
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6715,40.1536,3530,14.4,5.7,73,ITS.cc.73,1.889,25.452
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6716,40.1536,3530,13.2,5.8,74,ITS.cc.74,2.895,17.414
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6717,40.1536,3530,9.6,5.8,75,ITS.cc.75,1.73,20.629
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6718,40.1536,3530,9.6,4.7,76,ITS.cc.76,1.577,19.298
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6719,40.1536,3530,7.6,5.6,77,ITS.cc.77,1.557,16.864
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.672,40.1536,3530,13.5,5.6,78,ITS.cc.78,0.893,18.185
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6721,40.1536,3530,8.2,5.7,79,ITS.cc.79,0.536,23.626
US CO,NS,US CO.NS,Kobresia myosuroides,AMF,-105.6722,40.1536,3530,11.9,4.9,80,ITS.cc.80,0.416,20.135
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,80,6,81,ITS.cc.81,1.741,12.078
Colombia,S,Colombia.S,Hypericum L,AMF,-75.42548683,4.792977,4024,68,5.9,82,ITS.cc.82,2.211,39.904
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,60,5.9,83,ITS.cc.83,2.425,40.822
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,60,5.8,84,ITS.cc.84,1.846,39.493
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,40,6.8,85,ITS.cc.85,1.525,23.565
Colombia,S,Colombia.S,Hypericum L,AMF,-75.42548683,4.792977,4024,24,6.5,86,ITS.cc.86,0.679,35.551
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,70,5.8,87,ITS.cc.87,1.777,27.973
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,80,5.7,88,ITS.cc.88,2.107,26.796
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,60,5.8,89,ITS.cc.89,1.442,19.742
Colombia,S,Colombia.S,Hesperomeles obtusifolia,AMF,-75.42548683,4.792977,4024,50,6.2,90,ITS.cc.90,2.111,19.742
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,80,6.1,91,ITS.cc.91,2.061,31.796
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,60,5,92,ITS.cc.92,0.4,21.622
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,57,5.7,93,ITS.cc.93,1.605,24.773
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,60,6,94,ITS.cc.94,1.857,27.481
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,52,6.3,95,ITS.cc.95,1.722,26.139
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,62,6,96,ITS.cc.96,1.81,34.545
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,70,5.9,97,ITS.cc.97,1.76,35.205
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,75,5.2,98,ITS.cc.98,0.44,26.028
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,55,5.8,99,ITS.cc.99,1.741,26.534
Colombia,NS,Colombia.NS,Calamagrostis E,AMF,-75.42548683,4.792977,4024,60,5.8,100,ITS.cc.100,2.084,32.861
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266907,19.064165,4106,13.5,5.5,101,ITS.cc.101,0.11,2.032
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266908,19.064165,4107,12.933,5.62,102,ITS.cc.102,0.058,1.105
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266909,19.064165,4108,15.1,5.83,103,ITS.cc.103,0.051,1.895
