Vegetation,Plant species,root microb3,GPS coords (dd),Elevation (masl) ,VWC (%) ,pH ,Location ,LDMC (g/g),SLA (cm^2/g),15N,13C,Wt% N*,Wt% C*,C:N ratio,soilN2,soilC2,Tube,SampleID
S,Rhododendron ferrugineum,"ECM,ERM","46.6736111, 10.591944444444445",2355,34.12,3.65,Italy ,0.499321311,93.51634862,-2.3963598,-27.4577092,1.4405555,51.3095106,35.6178645,2.4,14.126,46,ITS.cc.46
S,Rhododendron ferrugineum,"ECM,ERM","46.6736111, 10.591944444444445",2359,37.81,4.19,Italy ,0.499689345,76.35915352,-2.2632774,-27.7139729,1.4859188,51.5249387,34.67547399,2.825,9.58,47,ITS.cc.47
S,Rhododendron ferrugineum,"ECM,ERM","46.6736111, 10.591944444444445",2369,45.14,3.71,Italy ,0.462143044,82.97859374,-0.89515,-27.1801746,1.4299393,51.8178407,36.23779044,1.277,24.124,48,ITS.cc.48
S,Rhododendron ferrugineum,"ECM,ERM","46.6736111, 10.591944444444445",2380,58.36,3.95,Italy ,0.504651163,95.84061656,-4.3744482,-29.1826779,1.266046,51.8090354,40.92192179,1.572,5.575,49,ITS.cc.49
S,Rhododendron ferrugineum,"ECM,ERM","46.6736111, 10.591944444444445",2386,35.76,3.72,Italy ,0.460958904,88.54774169,-4.1637344,-28.6215313,1.1693795,52.1334734,44.58216806,2.981,11.557,50,ITS.cc.50
NS,Nardus stricta,AMF,"46.6736111, 10.591944444444445",2344,57.28,3.72,Italy ,NA,NA,NA,NA,NA,NA,NA,4.838,10.161,51,ITS.cc.51
NS,"Nardus stricta, Avenella flexuosa, mosses",AMF,"46.6736111, 10.591944444444445",2337,31.23,4.68,Italy ,NA,NA,NA,NA,NA,NA,NA,2.469,11.158,52,ITS.cc.52
NS,"Luzula alpino pilosa, Nardus stricta, Soldanella pusilla, Senecio carniolicus",AMF,"46.6736111, 10.591944444444445",2349,23.59,4.32,Italy ,NA,NA,NA,NA,NA,NA,NA,3.122,6.767,53,ITS.cc.53
NS,"Nardus stricta, Avenella flexuosa",AMF,"46.6736111, 10.591944444444445",2350,53.86,3.81,Italy ,NA,NA,NA,NA,NA,NA,NA,7.458,19.217,54,ITS.cc.54
NS,"Nardus stricta, Avenella flexuosa, Senecio carniolicus",AMF,"46.6736111, 10.591944444444445",2344,18.36,4.58,Italy ,NA,NA,NA,NA,NA,NA,NA,0.889,6.146,55,ITS.cc.55
NS,"Agrostis rupestris, Poa alpina, Cetraria, Polytrichum",AMF,"46.6736111, 10.591944444444445",2343,30.02,3.98,Italy ,NA,NA,NA,NA,NA,NA,NA,2.595,11.666,56,ITS.cc.56
NS,"Homogyne alpina, Poa alpina, Potentilla aurea, Agrostis rupestris",AMF,"46.6736111, 10.591944444444445",2359,22.69,4.08,Italy ,NA,NA,NA,NA,NA,NA,NA,2.413,8.044,57,ITS.cc.57
NS,"Nardus stricta, Homogyne alpina, Luzula alpino pilosa",AMF,"46.6736111, 10.591944444444445",2370,38.76,3.73,Italy ,NA,NA,NA,NA,NA,NA,NA,0.759,12.185,58,ITS.cc.58
NS,"Poa alpina, Soldanella pusilla, Polytrichum, Potentilla aurea",AMF,"46.6736111, 10.591944444444445",2380,45.15,3.96,Italy ,NA,NA,NA,NA,NA,NA,NA,3.031,12.525,59,ITS.cc.59
NS,"Nardus stricta, Soldanella pusilla, Carex curvula",AMF,"46.6736111, 10.591944444444445",2389,28.9,3.67,Italy ,NA,NA,NA,NA,NA,NA,NA,1.885,10.459,60,ITS.cc.60
S,Salix glauca,"ECM,ERM","40° 03.373', 105° 35.313'",3530,10,7.7,US CO,0.314387788,131.3016529,-1.4554284,-25.9719242,2.730659,49.1079476,17.98391802,0.707,26.781,61,ITS.cc.61
S,Salix glauca,"ECM,ERM","40° 03.374', 105° 35.297'",3530,8.5,6.4,US CO,0.323053892,157.4606117,0.594218,-25.801436,2.980932614,51.03747418,17.12131094,0.393,28.174,62,ITS.cc.62
S,Salix glauca,"ECM,ERM","40° 03.380', 105° 35.291'",3530,13,6.1,US CO,0.331754623,127.532291,-2.4441105,-27.2189144,2.628887747,51.2454569,19.49320847,0.36,19.173,63,ITS.cc.63
S,Salix glauca,"ECM,ERM","40° 03.379', 105° 35.281'",3530,9.5,5.7,US CO,0.275566751,208.4095064,-1.4476105,-28.6505272,3.076394295,51.23803204,16.65522268,2.013,28.254,64,ITS.cc.64
S,Salix glauca,"ECM,ERM","40° 03.392', 105° 35.31.293",3530,6.6,5.3,US CO,0.303519062,141.3848631,1.2648625,-26.866564,3.295979698,50.54940858,15.33668688,1.681,21.147,65,ITS.cc.65
S,Salix glauca,"ECM,ERM","40° 03.397', 105° 35.302'",3530,8.6,5.6,US CO,0.281945163,224.587156,-2.4939355,-27.396604,2.750512637,49.2049537,17.88937562,0.995,26.577,66,ITS.cc.66
S,Salix glauca,"ECM,ERM","40° 03.400', 105° 35.295'",3530,8.6,5.2,US CO,0.312549643,137.8653113,0.313205,-25.10986,3.418964605,50.68999393,14.82612422,0.426,26.076,67,ITS.cc.67
S,Salix glauca,"ECM,ERM","40° 03.414', 105° 35.265'",3530,16.9,5.5,US CO,0.353925067,148.3931947,-1.285181,-27.5601592,3.038407481,50.94257468,16.76620894,1.594,21.278,68,ITS.cc.68
S,Salix glauca,"ECM,ERM","40° 03.418', 105° 35.275'",3530,6.9,5.1,US CO,0.308321132,136.5255243,0.819427,-25.4107208,3.757988962,51.18757423,13.62100175,1.688,24.066,69,ITS.cc.69
S,Salix glauca,"ECM,ERM","40° 03.416', 105° 35.283'",3530,7.9,5.6,US CO,0.291807718,182.5986079,0.4517185,-25.4813928,3.965184846,50.93136019,12.84463705,1.035,12,70,ITS.cc.70
NS,"Kobresia myosuroides, Geum rossii, Artemisia  scopulorum",AMF,"40° 03.373', 105° 35.341'",3530,13.9,7.1,US CO,NA,NA,NA,NA,NA,NA,NA,0.563,18.329,71,ITS.cc.71
NS,"Kobresia myosuroides, Geum rossii, Carex rupestris",AMF,"40° 03.373', 105° 35.295'",3530,15.4,5.9,US CO,NA,NA,NA,NA,NA,NA,NA,1.667,16.658,72,ITS.cc.72
NS,"Kobresia myosuroides, Geum rossii, Artemisia  scopulorum",AMF,"40° 03.379', 105° 35.291'",3530,14.4,5.7,US CO,NA,NA,NA,NA,NA,NA,NA,1.889,25.452,73,ITS.cc.73
NS,"Kobresia myosuroides, Bistorta vivipara",AMF,"40° 03.379', 105° 35.282'",3530,13.2,5.8,US CO,NA,NA,NA,NA,NA,NA,NA,2.895,17.414,74,ITS.cc.74
NS,"Kobresia myosuroides, Artemisia  scopulorum, Carex rupestris",AMF,"40° 03.393', 105° 35.31.293",3530,9.6,5.8,US CO,NA,NA,NA,NA,NA,NA,NA,1.73,20.629,75,ITS.cc.75
NS,"Kobresia myosuroides, Geum rossii, Carex rupestris",AMF,"40° 03.397', 105° 35.300'",3530,9.6,4.7,US CO,NA,NA,NA,NA,NA,NA,NA,1.577,19.298,76,ITS.cc.76
NS,"Kobresia myosuroides, Geum rossii",AMF,"40° 03.399', 105° 35.294'",3530,7.6,5.6,US CO,NA,NA,NA,NA,NA,NA,NA,1.557,16.864,77,ITS.cc.77
NS,"Kobresia myosuroides, Geum rossii, Carex rupestris",AMF,"40° 03.412', 105° 35.265'",3530,13.5,5.6,US CO,NA,NA,NA,NA,NA,NA,NA,0.893,18.185,78,ITS.cc.78
NS,"Kobresia myosuroides, Geum rossii, Artemisia  scopulorum",AMF,"40° 03.418', 105° 35.273'",3530,8.2,5.7,US CO,NA,NA,NA,NA,NA,NA,NA,0.536,23.626,79,ITS.cc.79
NS,"Kobresia myosuroides, Geum rossii, Erigeron simplex",AMF,"40° 03.415', 105° 35.282'",3530,11.9,4.9,US CO,NA,NA,NA,NA,NA,NA,NA,0.416,20.135,80,ITS.cc.80
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,80,6,Colombia,0.088772846,95.99902953,0.1745502,-28.0998878,2.2632557,51.1291176,22.59095939,1.741,12.078,81,ITS.cc.81
S,Hypericum L,AMF,"4.792977, -75.42548682637863",4024,68,5.9,Colombia,NA,NA,NA,NA,NA,NA,NA,2.211,39.904,82,ITS.cc.82
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,60,5.9,Colombia,0.400966184,93.8173391,0.108009,-27.4729027,2.3591479,50.2674798,21.30747284,2.425,40.822,83,ITS.cc.83
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,60,5.8,Colombia,0.069444444,113.3108361,0.2552062,-29.080375,2.3926394,50.8143767,21.2377915,1.846,39.493,84,ITS.cc.84
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,40,6.8,Colombia,0.591836735,82.27958574,0.0384432,-29.6131604,1.8339806,50.3658301,27.46257518,1.525,23.565,85,ITS.cc.85
S,Hypericum L,AMF,"4.792977, -75.42548682637863",4024,24,6.5,Colombia,NA,NA,NA,NA,NA,NA,NA,0.679,35.551,86,ITS.cc.86
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,70,5.8,Colombia,0.059508409,115.7056455,-0.2075576,-29.1026588,1.7424318,50.5277409,28.99840378,1.777,27.973,87,ITS.cc.87
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,80,5.7,Colombia,0.102885822,94.03550166,0.3842558,-27.7595534,2.2619299,51.0529313,22.57051879,2.107,26.796,88,ITS.cc.88
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,60,5.8,Colombia,0.40969163,93.60725071,0.4679364,-28.2680292,2.3403735,51.4331641,21.97647687,1.442,19.742,89,ITS.cc.89
S,Hesperomeles O,AMF,"4.792977, -75.42548682637863",4024,50,6.2,Colombia,0.089333333,100.202027,-0.0674178,-28.644828,1.7995532,49.8748982,27.7151563,2.111,19.742,90,ITS.cc.90
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,80,6.1,Colombia,NA,NA,NA,NA,NA,NA,NA,2.061,31.796,91,ITS.cc.91
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,60,5,Colombia,NA,NA,NA,NA,NA,NA,NA,0.4,21.622,92,ITS.cc.92
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,57,5.7,Colombia,NA,NA,NA,NA,NA,NA,NA,1.605,24.773,93,ITS.cc.93
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,60,6,Colombia,NA,NA,NA,NA,NA,NA,NA,1.857,27.481,94,ITS.cc.94
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,52,6.3,Colombia,NA,NA,NA,NA,NA,NA,NA,1.722,26.139,95,ITS.cc.95
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,62,6,Colombia,NA,NA,NA,NA,NA,NA,NA,1.81,34.545,96,ITS.cc.96
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,70,5.9,Colombia,NA,NA,NA,NA,NA,NA,NA,1.76,35.205,97,ITS.cc.97
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,75,5.2,Colombia,NA,NA,NA,NA,NA,NA,NA,0.44,26.028,98,ITS.cc.98
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,55,5.8,Colombia,NA,NA,NA,NA,NA,NA,NA,1.741,26.534,99,ITS.cc.99
NS,Calamagrostis E,AMF,"4.792977, -75.42548682637863",4024,60,5.8,Colombia,NA,NA,NA,NA,NA,NA,NA,2.084,32.861,100,ITS.cc.100
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266907,4106,13.5,5.5,Mexico,0.312206573,34.7593985,-3.975764,-26.8654172,2.039692305,48.76475913,23.90789974,0.11,2.032,101,ITS.cc.101
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266908,4107,12.933,5.62,Mexico,0.319534282,33.90688259,-5.23274,-27.869718,1.423289674,49.31748438,34.6503493,0.058,1.105,102,ITS.cc.102
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266909,4108,15.1,5.83,Mexico,0.309341501,36.72772277,-5.3215264,-27.1873604,1.468074781,49.87724267,33.97459265,0.051,1.895,103,ITS.cc.103
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266910,4109,16.467,5.13,Mexico,0.211488251,39.9845679,-5.801372,-26.8846528,1.893318254,49.58752344,26.19080197,0.386,0.559,104,ITS.cc.104
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266911,4110,15.833,5.5,Mexico,0.307877814,32.75718016,-5.367416,-28.188624,1.81748009,49.29734292,27.12400713,0.055,0.805,105,ITS.cc.105
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266912,4111,20.033,5.28,Mexico,0.253546099,38.39160839,-6.0886808,-29.256706,1.120446933,45.70057663,40.78781001,0.095,0.715,106,ITS.cc.106
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266913,4112,14.8,5.68,Mexico,0.227095517,40.75965665,-5.9739568,-28.9256512,1.669604418,47.88511747,28.68051674,0.092,1.287,107,ITS.cc.107
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266914,4113,16.9,5.67,Mexico,0.287826087,35.33836858,-4.9943136,-28.2777152,1.931967901,49.25569132,25.49508783,0.03,0.702,108,ITS.cc.108
